                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76031,                 1.3617,                0.92388,                0.72376,                0.75013,                0.77336,                0.64295,                0.57757,                0.50616,                0.82826,               0.070545,              0.0032727,              0.0032727
                      1,                0.63373,                0.59219,                0.85889,                0.75924,                0.80494,                0.84894,                 0.6635,                0.62626,                0.70266,                0.82269,               0.040284,              0.0063445,              0.0063445
                      2,                0.67785,                0.55946,                0.85467,                0.65719,                0.89679,                0.86103,                 0.7076,                0.59071,                0.69266,                0.82442,              0.0097583,              0.0091522,              0.0091522
                      3,                0.68793,                0.53783,                0.85122,                0.87276,                0.81069,                0.87968,                0.71262,                 0.6178,                0.46555,                0.82635,               0.008812,               0.008812,               0.008812
                      4,                0.68157,                0.48852,                0.85536,                0.81345,                0.85483,                0.89708,                0.75965,                 0.5625,                0.47047,                0.81821,               0.008812,               0.008812,               0.008812
                      5,                0.64542,                0.44647,                0.85324,                0.83871,                0.86734,                0.88238,                0.77465,                0.50537,                0.38951,                0.81388,               0.008416,               0.008416,               0.008416
                      6,                0.61377,                0.42996,                0.84152,                0.89817,                0.81207,                0.89514,                0.78178,                0.50503,                0.39613,                0.81466,                0.00802,                0.00802,                0.00802
                      7,                0.59187,                0.40722,                0.83831,                 0.8284,                0.86585,                0.90801,                0.79762,                0.47535,                0.35435,                0.80729,               0.007624,               0.007624,               0.007624
                      8,                0.55905,                0.39012,                0.83315,                0.86538,                 0.8545,                0.91579,                0.80827,                0.48216,                0.36834,                0.81163,               0.007228,               0.007228,               0.007228
                      9,                0.54944,                0.38707,                0.82996,                0.84103,                0.88035,                0.92664,                0.81307,                0.50654,                0.36817,                0.81343,               0.006832,               0.006832,               0.006832
                     10,                0.53538,                0.37342,                0.83138,                0.82852,                 0.8822,                0.91163,                0.81411,                0.44898,                0.34527,                0.80584,               0.006436,               0.006436,               0.006436
                     11,                0.51713,                0.36385,                0.82578,                0.88831,                0.84582,                0.90843,                0.82043,                0.42878,                0.33621,                0.80485,                0.00604,                0.00604,                0.00604
                     12,                0.48369,                 0.3536,                 0.8231,                0.84242,                0.87993,                 0.9151,                0.83092,                 0.4245,                0.33605,                0.80401,               0.005644,               0.005644,               0.005644
                     13,                0.47365,                0.34099,                0.82109,                0.85974,                0.88634,                0.92642,                 0.8415,                 0.4119,                0.32034,                0.80339,               0.005248,               0.005248,               0.005248
                     14,                0.46611,                 0.3363,                0.81936,                0.88827,                0.84565,                 0.9219,                 0.8358,                0.39458,                0.30889,                0.79762,               0.004852,               0.004852,               0.004852
                     15,                0.42199,                0.30351,                0.80447,                0.88168,                0.85271,                0.92037,                0.84193,                0.39629,                0.30471,                0.79882,               0.004456,               0.004456,               0.004456
                     16,                0.40964,                0.29519,                0.80053,                0.86753,                0.85939,                0.93025,                0.83618,                0.39164,                0.29863,                0.79743,                0.00406,                0.00406,                0.00406
                     17,                0.39501,                0.29077,                0.79804,                0.90754,                0.82134,                0.91272,                0.82656,                0.38878,                0.30246,                0.79782,               0.003664,               0.003664,               0.003664
                     18,                0.38594,                0.28417,                0.79733,                0.87835,                0.86099,                 0.9243,                0.85009,                0.37789,                0.30077,                0.79582,               0.003268,               0.003268,               0.003268
                     19,                0.37687,                0.27434,                0.80073,                 0.8481,                0.89387,                0.92033,                0.84564,                 0.3785,                0.29276,                0.79539,               0.002872,               0.002872,               0.002872
                     20,                0.36943,                0.26826,                 0.7934,                0.91742,                0.82793,                0.93103,                0.86034,                0.36932,                0.28457,                0.79398,               0.002476,               0.002476,               0.002476
                     21,                0.36465,                0.26624,                0.79654,                0.91125,                0.83168,                0.92733,                0.86222,                 0.3472,                0.27059,                0.79128,                0.00208,                0.00208,                0.00208
                     22,                0.35352,                0.25496,                0.79062,                0.89891,                0.83101,                0.92019,                0.84556,                 0.3521,                0.27767,                0.79006,               0.001684,               0.001684,               0.001684
                     23,                0.34303,                0.24885,                0.78908,                0.88798,                0.84592,                0.92941,                0.85274,                0.34643,                0.26591,                 0.7891,               0.001288,               0.001288,               0.001288
                     24,                0.34059,                0.24599,                0.78626,                0.91559,                0.83444,                0.92972,                0.86095,                0.33556,                0.25946,                0.78833,               0.000892,               0.000892,               0.000892
